name,iso_a3,currency_code,local_price,dollar_ex,Year,date,Price
Guatemala,GTM,GTQ,25,7.4871,2018,2018-07-01,3.339076545
Hong Kong,HKG,HKD,20,7.84825,2018,2018-07-01,2.548338802
Honduras,HND,HNL,85,23.9926,2018,2018-07-01,3.542759017
Croatia,HRV,HRK,21,6.31275,2018,2018-07-01,3.326600927
Hungary,HUN,HUF,850,276.4302,2018,2018-07-01,3.074917285
Indonesia,IDN,IDR,31500,14360,2018,2018-07-01,2.193593315
India,IND,INR,173,68.825,2018,2018-07-01,2.513621504
Ireland,IRL,EUR,4.07,0.8532059212,2018,2018-07-01,4.7702435
Israel,ISR,ILS,17,3.6349,2018,2018-07-01,4.676882445
Italy,ITA,EUR,4.2,0.8532059212,2018,2018-07-01,4.92261
Jordan,JOR,JOD,1.95,0.71005,2018,2018-07-01,2.746285473
Japan,JPN,JPY,390,111.25,2018,2018-07-01,3.505617978
South Korea,KOR,KRW,4500,1116,2018,2018-07-01,4.032258065
Kuwait,KWT,KWD,1.05,0.3025,2018,2018-07-01,3.47107438
Lebanon,LBN,LBP,6500,1511,2018,2018-07-01,4.301786896
Sri Lanka,LKA,LKR,580,159.27,2018,2018-07-01,3.641614868
Lithuania,LTU,EUR,2.8,0.8532059212,2018,2018-07-01,3.28174
Latvia,LVA,EUR,2.7,0.8532059212,2018,2018-07-01,3.164535
Moldova,MDA,MDL,43,16.6526,2018,2018-07-01,2.582179359
Mexico,MEX,MXN,49,19.0515,2018,2018-07-01,2.57197596
Malaysia,MYS,MYR,8.45,4.0225,2018,2018-07-01,2.100683654
Nicaragua,NIC,NIO,103,31.5872,2018,2018-07-01,3.260814507
Netherlands,NLD,EUR,3.79,0.8532059212,2018,2018-07-01,4.4420695
Norway,NOR,NOK,42,8.0415,2018,2018-07-01,5.222906174
New Zealand,NZL,NZD,6.2,1.464343242,2018,2018-07-01,4.23398
Oman,OMN,OMR,1.05,0.385,2018,2018-07-01,2.727272727
Pakistan,PAK,PKR,375,121.49,2018,2018-07-01,3.0866738
Peru,PER,PEN,10.5,3.2715,2018,2018-07-01,3.20953691
Philippines,PHL,PHP,140,53.487,2018,2018-07-01,2.617458448
Poland,POL,PLN,10.1,3.68695,2018,2018-07-01,2.739391638
Portugal,PRT,EUR,3.25,0.8532059212,2018,2018-07-01,3.8091625
Qatar,QAT,QAR,12,3.641,2018,2018-07-01,3.295797858
Romania,ROU,RON,9.2,3.97325,2018,2018-07-01,2.315484805
Russia,RUS,RUB,130,62.14065,2018,2018-07-01,2.092028326
Saudi Arabia,SAU,SAR,12,3.7504,2018,2018-07-01,3.199658703
Singapore,SGP,SGD,5.8,1.35585,2018,2018-07-01,4.277759339
Slovakia,SVK,EUR,3,0.8532059212,2018,2018-07-01,3.51615
Slovenia,SVN,EUR,2.3,0.8532059212,2018,2018-07-01,2.695715
Sweden,SWE,SEK,51,8.7526,2018,2018-07-01,5.826840025
Thailand,THA,THB,119,33.17,2018,2018-07-01,3.587579138
